,0
Population,63694653.02564103
Area (km2),918880.3800398783
GDP per Cap,9124.017443037976
Gender Ratio %,49.65316455696202
Gender Gap,0.6815857142857144
Suicide per 100k,10.553630903448717
Suicide 5-14 years,0.5655769230769231
Suicide 15-49 years,11.740961538461537
Suicide  50-69 years,14.355128205128207
Suicide 70+ years,18.926538461538463
Unemployment (%),8.474358974358974
Divorce Rate per 100k,26.819180327868846
GINI,36.69054054054054
Christian,53.3779746835443
Muslim,27.625569620253167
Irreligion,8.811645569620254
Hindu,2.9177215189873418
Buddhist,5.737215189873417
Folk religion,1.330126582278481
Other religion,0.29810126582278484
Jewish,0.05354430379746835
Hunger (rate),9.972307692307693
Urbanization (rate),65.37012987012986
Democracy (value),5.643636363636363
Holiday (Paid Days),28.00632911392405
Fertility (per woman),2.073544303797468
Air Quality (Value),24.260545454545454
Homicide per 100k,7.43607594936709
Prison (per 100k),195.77215189873417
Alchool (per cap),6.39873417721519
Drugs Usage (per cap),0.8903846153846154
Antidepressants (per cap),45.959999999999994
Congestion (Per capita),151.56307692307692
Power Distance,70.0909090909091
Individualism,31.51515151515151
Masculinity,52.0
Uncertainity Avoidance,72.42424242424241
Long Term Orientation,9.666666666666664
Net Migration,0.36315789473684223
Mortality,7.746075949367087
"Adolescent fertility rate (births per 1,000 women ages 15-19)",15.98990914825641
Age dependency ratio (% of working-age population),34.96052569320512
"Age dependency ratio, old",1155.3369587394056
"Age dependency ratio, young",3.063995341481012
"Current health expenditure per capita, PPP (current international $)",117.99898199852942
"Fertility rate, total (births per woman)",89.2261158009091
"Immunization, BCG (% of one-year-old children)",91.00622222226666
"Immunization, DPT (% of children ages 12-23 months)",90.0407657658108
"Immunization, HepB3 (% of one-year-old children)",91.62792207792208
"Immunization, Hib3 (% of children ages 12-23 months)",86.31861471857142
"Immunization, measles (% of children ages 12-23 months)",91.75021645025973
"Immunization, measles second dose (% of children by the nationally recommended age)",41.02966547974358
"Immunization, Pol3 (% of one-year-old children)",78.47084388189873
"Labor force, female (% of total labor force)_x",71.03910025405064
"Life expectancy at birth, female (years)",87.73827083368421
"Life expectancy at birth, male (years)",161.56577083421055
"Mortality rate, adult, female (per 1,000 female adults)",13.780101731597401
"Mortality rate, adult, male (per 1,000 male adults)",14.674501082246753
"Mortality rate, infant (per 1,000 live births)",13.26956709961039
"Mortality rate, infant, female (per 1,000 live births)",8.22848484848052
"Mortality rate, infant, male (per 1,000 live births)",14.316082251038956
"Mortality rate, neonatal (per 1,000 live births)",12.854805194805193
"Mortality rate, under-5 (per 1,000)_x",15.592705627662337
"Mortality rate, under-5, female (per 1,000)",2073.2030735935064
"Mortality rate, under-5, male (per 1,000)",3838.412857142857
Number of deaths ages 10-14 years,5357.950865805195
Number of deaths ages 15-19 years,2275.3147186142855
Number of deaths ages 20-24 years,20522.00800866234
Number of deaths ages 5-9 years,9387.733333337663
Number of infant deaths,11365.347402597403
"Number of infant deaths, female",1110.201754417974
"Number of infant deaths, male",14321.192640688312
Number of maternal deaths,11443.494588749352
Number of neonatal deaths,25003.393290038963
Number of stillbirths,11675.471428571427
Number of under-five deaths,13607.007575753245
"Number of under-five deaths, female",155.69653679653246
"Number of under-five deaths, male",183.70465367964934
"Probability of dying among adolescents ages 10-14 years (per 1,000)",1.3500432900389612
"Probability of dying among adolescents ages 15-19 years (per 1,000)",4.7169480519480524
"Probability of dying among children ages 5-9 years (per 1,000)",7.251785283428571
"Probability of dying among youth ages 20-24 years (per 1,000)",83.32525042333333
"Stillbirth rate (per 1,000 total births)",77.4658038706282
"Survival to age 65, female (% of cohort)",85.47276916388888
"Tuberculosis case detection rate (%, all forms)",79.15972222222223
Duration of compulsory education (years),10.567105263157895
"Gross enrolment ratio, lower secondary, both sexes (%)",99.1843317197059
"Gross enrolment ratio, lower secondary, female (%)",99.33706500632353
