Country,Region,Languages,Religion,Population,Area (km2),Happiness,GDP per Cap,Gender Ratio %,Gender Gap,Suicide per 100k,Suicide 5-14 years,Suicide 15-49 years,Suicide  50-69 years,Suicide 70+ years,Unemployment (%),Divorce Rate per 100k,GINI,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk religion,Other religion,Jewish,Hunger (rate),Urbanization (rate),Democracy (value),Holiday (Paid Days),Fertility (per woman),Air Quality (Value),Homicide per 100k,Prison (per 100k),Alchool (per cap),Drugs Usage (per cap),Antidepressants (per cap),Congestion (Per capita),Power Distance,Individualism,Masculinity,Uncertainity Avoidance,Long Term Orientation,Net Migration,Mortality
Afghanistan,Southern Asia,Asia (other),Muslim,34414000,652860,3.512,541.656,48.61,X,5.279715954,0.32,8.755,16.69,22.32,8.86,X,X,0.1,99.7,0,0.03,0,0,0.06,0,33.8,26,2.85,35,4.98,58.8,6.66,87,0.2,2.54,X,X,X,X,X,X,X,3.3,6.93
Angola,Sub-Saharan Africa,Portuguese,Christian,27884000,1246700,3.875,3606.42,50.54,0.6659,6.195113927,0.515,7.73,26.875,55.04,7.28,X,51.3,90.5,1,5.1,0,0,4.2,0,0,29.8,66.8,3.72,33,5.77,15.9,4.85,93,6.4,0.51,X,X,X,X,X,X,X,1.4,9.05
Albania,Eastern Europe,Europe (other),Muslim,2891000,27400,4.714,4649.024,49.09,0.6412,5.885342479,0.645,7,6.335,10.01,17.08,24.36,33.2,18,80.3,1.4,0,0,0,0.2,0,7,62.1,5.89,32,1.68,X,2.29,177,7.5,0.51,X,X,X,X,X,X,X,-9.4,7.37
United Arab Emirates,Middle East and Northern Africa,Arabic,Muslim,9263000,71020,6.744,40878.542,29.6,0.6372,6.120097806,0.1,6.75,8.99,8.945,1.93,25,32.5,12.6,76.9,1.1,6.6,2,0,0.8,0,X,87,2.76,32,1.54,38.94,0.5,104,3.8,2.99,X,170.89,80,38,52,68,0,6.1,1.38
Argentina,Latin America and Caribbean,Spanish,Christian,43075000,2736690,6.46,12572.252,51.27,0.7195,11.30154506,0.79,14.305,13.895,20.125,7.15,X,41.4,85.2,1,12.2,0,0.05,0.8,0.3,0.5,5,92.1,7.02,25,2.3,14.6,5.32,230,9.8,0.99,X,172.79,49,46,56,86,0,0.1,7.64
Armenia,Central Asia,Europe (other),Christian,2926000,28470,4.394,3991.37,52.99,0.6634,10.15635363,0.295,8.415,14.53,35,18.26,16.67,34.4,98.5,0,1.3,0,0,0,0.1,0,7.8,63.3,5.54,36,1.74,25.51,1.69,76,5.5,0.5,X,X,X,X,X,X,X,-2.1,9.82
Australia,Australia and New Zealand,English,Christian,23932000,7692020,7.274,54619.268,50.17,0.739,12.88929122,0.39,16.215,15.425,15.055,6.06,43.48,34.4,67,2.8,24.2,1.2,2.7,0.7,0.8,0.5,X,86.2,9.09,30,1.81,8,0.89,170,10.6,2.17,106.7,148.25,36,90,61,51,31,8.6,6.6
Austria,Northern Europe,German,Christian,8679000,82522.99805,7.144,47753.454,51.04,0.7437,16.65953141,0.285,13.02,21.775,37.12,5.72,35.29,29.7,80.4,5.4,13.5,0,0.2,0,0.1,0.2,X,58.7,8.29,38,1.49,12.17,0.97,98,11.6,0.91,60.5,80.52,11,55,79,70,0,6.3,9.6
Azerbaijan,Central Asia,Europe (other),Muslim,9623000,82670,5.228,4612.314,50.24,0.6582,4.307680876,0.27,4.935,6.565,10.56,4.96,15.46,26.6,3,96.9,0,0,0,0,0,0,7.4,56.4,2.75,40,1.94,X,2.2,235,0.8,0.48,X,162.23,X,X,X,X,X,0.2,5.7
Burundi,Sub-Saharan Africa,French,Christian,10160000,25680,3.082,282.748,50.49,0.7397,6.430456747,0.635,7.335,28.545,63.535,1.57,X,38.6,91.5,10,0,0,0,5.7,0,0,X,13.7,2.15,30,5.7,X,6.02,85,7.5,0.5,X,X,X,X,X,X,X,-1.5,8.52
Belgium,Northern Europe,Europe (other),Christian,11288000,30280,6.922,44177.336,50.84,0.7684,19.31999433,0.28,18.825,27.855,29.525,8.48,53.85,27.4,64.25,5.9,29,0,0.2,0.2,0,0.3,X,98.1,7.64,30,1.7,12.52,1.7,95,12.1,0.82,79,146.77,65,75,54,94,0,4.7,9.8
Benin,Sub-Saharan Africa,French,Christian,10576000,112760,3.9,1152.188,50.17,0.5885,6.026321749,0.395,7.04,25.04,55.09,2.63,X,47.8,48,28,6,0,0,18,0,0,24,48.4,5.09,37,5.05,X,1.1,68,3,0.5,X,X,X,X,X,X,X,-0.9,9.33
Burkina Faso,Sub-Saharan Africa,French,Muslim,18111000,273600,4.074,734.854,50.2,0.6513,7.134316284,0.54,8.255,29.47,64.325,6.49,X,35.3,22.5,62,0.4,0,0,15.4,0,0,25.8,30.6,4.04,45,5.44,X,1.3,39,8.2,0.44,X,X,X,X,X,X,X,-1.5,8.82
Bangladesh,Southern Asia,Asia (other),Muslim,156256000,130170,4.58,1553.614,49.3,0.6848,5.984103676,1.6,8.275,6.6,11.055,4.43,X,32.4,0.2,90,0.05,9.1,0.5,0.4,0.02,0,25.8,38.2,5.88,21,2.12,83.3,2.37,52,0,0.51,X,271.69,X,X,X,X,X,-3,5.55
Bulgaria,Eastern Europe,Europe (other),Christian,7200000,108560,4.618,8418.322,51.36,0.7097,13.75630498,0.445,10.075,18.06,30.855,9.14,39.47,40.4,82.1,13.7,4.2,0,0,0,0,0,5,75.7,7.03,32,1.53,25.49,1.3,125,12.7,0.7,X,103.15,X,X,X,X,X,X,15.3
