Country,Duration of compulsory education (years),"Gross enrolment ratio, lower secondary, both sexes (%)","Gross enrolment ratio, lower secondary, female (%)","Gross enrolment ratio, lower secondary, gender parity index (GPI)","Gross enrolment ratio, lower secondary, male (%)","Gross enrolment ratio, primary and lower secondary, both sexes (%)","Gross enrolment ratio, primary and lower secondary, female (%)","Gross enrolment ratio, primary and lower secondary, gender parity index (GPI)","Gross enrolment ratio, primary and lower secondary, male (%)","Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, primary, female (%)","Gross enrolment ratio, primary, gender parity index (GPI)","Gross enrolment ratio, primary, male (%)","Gross enrolment ratio, secondary, both sexes (%)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of primary education, both sexes (%)","Gross intake ratio to Grade 1 of primary education, female (%)","Gross intake ratio to Grade 1 of primary education, gender parity index (GPI)","Gross intake ratio to Grade 1 of primary education, male (%)","Gross outbound enrolment ratio, all regions, both sexes (%)",Internet users (per 100 people),"Labor force, female (% of total labor force)","Labor force, total","Mortality rate, under-5 (per 1,000)","Net enrolment rate, lower secondary, both sexes (%)","New entrants to Grade 1 of primary education, percentage female (%)",Official entrance age to compulsory education (years),Official entrance age to early childhood education (years),Official entrance age to lower secondary education (years),Official entrance age to pre-primary education (years),Official entrance age to primary education (years),Official entrance age to upper secondary education (years),Percentage of enrolment in lower secondary education in private institutions (%),Percentage of enrolment in primary education in private institutions (%),Percentage of enrolment in secondary education in private institutions (%),Percentage of enrolment in upper secondary education in private institutions (%),Percentage of students in lower secondary education who are female (%),Percentage of students in lower secondary general education who are female (%),Percentage of students in primary education who are female (%),Percentage of students in secondary education who are female (%),Percentage of students in secondary general education who are female (%),Percentage of students in upper secondary education who are female (%),Percentage of students in upper secondary general education who are female (%),"Gross enrolment ratio, pre-primary, both sexes (%)","Gross enrolment ratio, pre-primary, female (%)","Gross enrolment ratio, pre-primary, gender parity index (GPI)","Gross enrolment ratio, pre-primary, male (%)","Outbound mobility ratio, all regions, both sexes (%)",Percentage of enrolment in pre-primary education in private institutions (%),Percentage of students in pre-primary education who are female (%),Percentage of students in tertiary education who are female (%),Percentage of students in early childhood education who are female (%),"Gross enrolment ratio, early childhood education, both sexes (%)"
Switzerland,11,105.8084767,105.4401233,0.993233333,106.15822,105.0572533,104.73656,0.994066667,105.36171,104.6679967,104.37217,0.994513333,104.9488367,102.1755067,99.6721,99.07176333,99.99606,1.01831,98.19508,2.65734,88.76663034,46.59383766,4911583.6,4.225,86.35237333,49.13019667,5,5,13,5,7,16,8.69024,5.55878,12.03695333,14.48906667,48.52883,48.52883,48.55431667,47.76011667,51.27335,47.19728333,56.98963333,104.51344,103.98397,0.99019,105.0152967,4.54483,4.930216667,48.41865,49.70621,48.41865,104.51344
Iceland,10,99.58849667,99.63175667,1.000843333,99.54729,99.53141,99.51929667,0.99977,99.54282333,99.50367,99.46962333,0.99933,99.53620667,118.0748667,131.2835967,100.8731567,101.34458,1.009046667,100.43287,10.53876667,98.42774257,47.25302566,209874.2,2.075,98.98774333,48.52667,6,0,13,3,6,16,1.25166,3.040466667,14.55163667,21.76396667,49.3679,49.3679,48.76003333,49.06855667,51.76257667,48.90559333,53.66503333,95.55107333,96.58016,1.021286667,94.58022667,14.29918333,13.67013,49.01104,63.44775667,49.035,71.79867
Denmark,10,118.1874233,118.08231,0.99837,118.2905967,106.5864733,106.1790433,0.992576667,106.9738933,101.5097867,100.9622067,0.989536667,102.0307033,129.4829433,140.11852,97.56004333,97.56781333,1.00017,97.55368,1.333396667,97.01047889,47.30957427,2996709.6,4.25,92.42103667,48.49508333,6,0,13,3,6,16,29.08941333,16.17655667,14.49888667,2.912723333,48.72639333,48.72639333,48.47027333,49.31588333,50.99116333,49.78213333,54.02321667,95.81526667,95.57635667,0.995206667,96.04024,1.641003333,19.68250333,48.35944333,56.62182,48.42525667,79.40436667
Norway,10,103.4563333,103.5741067,1.00239,103.3472567,101.1266367,101.0946967,0.9994,101.1570533,100.13034,100.0314767,0.99807,100.2248567,115.91615,127.7733767,100.8043833,100.9074,1.002003333,100.70708,5.347283333,96.73944074,47.06164944,2784770,2.625,99.31163,48.69805667,6,1,13,3,6,16,3.9178,3.197256667,7.169213333,9.675233333,48.8713,48.8713,48.80366667,47.83068,51.40292333,47.02782667,55.31054333,96.18042667,96.31291667,1.00268,96.05514333,6.67639,47.42962333,48.66669,58.10019333,48.66664333,90.64415
Canada,10,106.7835067,107.4495433,1.01194,106.1547833,103.20043,103.4871333,1.005433333,102.92862,101.48421,101.5985233,1.002173333,101.3760133,112.2112233,117.1661833,0,0,0,0,2.09025,90.72,47.24859703,20108578,5.15,99.92752,0,6,3,12,5,6,15,8.76843,6.214323333,7.886033333,7.164326667,48.84347333,48.84347333,48.79492667,48.84649667,49.04810333,48.84278667,49.22553667,0,0,0,0,3.134713333,0,0,56.08071,0,0
Finland,9.75,101.8061467,101.5635367,0.995353333,102.03768,100.84572,100.5882933,0.995016667,101.09192,100.37809,100.1139633,0.994863333,100.6309767,152.0487667,200.5750433,98.72584667,98.48291667,0.995216667,98.95841,2.980316667,87.62116809,48.05915913,2716358,1.925,96.49845667,48.78302667,6.25,1,13,3,7,16,4.95341,1.748763333,14.76598667,19.57473667,48.71037,48.71037,48.78444,51.20330333,51.80808,52.42502667,57.1166,82.21621333,82.14339,0.99827,82.28579,3.40096,10.77774667,48.8238,53.3372,48.81838333,69.45628
Netherlands,13,133.6429167,131.1641567,0.964493333,135.99171,113.8577967,112.9982767,0.98541,114.67161,103.40466,103.39601,0.999836667,103.4128433,133.93754,134.2315,0,0,0,0,1.626626667,92.51111237,46.13327775,9134732.6,3.95,87.31791,0,5,3,12,3,6,15,1.45842,0.353346667,6.157983333,10.88248667,47.75220667,48.02399,48.62005333,49.07072333,49.01539667,50.40059,51.95823,94.56746667,94.9795,1.00857,94.17721667,1.982193333,29.79537667,48.85786667,52.17559,48.85786667,94.56746667
Sweden,9.2,117.6934767,119.2983,1.02737,116.1874267,122.5862467,124.2612867,1.02723,121.0025933,124.78796,126.48884,1.0271,123.1756633,146.06893,174.5546833,100.9180533,100.6197533,0.994266667,101.19982,2.57222,91.97822303,47.68828217,5327273.4,2.8,97.39864667,48.43214,6.8,1,13,3,7,16,16.79210667,10.34624,17.01832667,17.16875,49.17919,49.18235667,49.32325667,50.92485333,50.82868,52.10007333,52.57361667,94.75736667,94.6349,0.99751,94.87307,4.004473333,17.17029667,48.50803667,59.37542,48.46576,86.13919667
New Zealand,10,102.16057,101.85506,0.99417,102.4521733,100.16563,100.2311967,1.00128,100.1035767,98.91299667,99.20452,1.005743333,98.63851667,114.5652733,130.57023,98.41906667,99.1074,1.01366,97.77222,1.571713333,89.16805608,47.44022172,2662215,5.85,97.06743,48.80035333,6,0,11,3,5,15,5.06212,1.837053333,9.335503333,13.64408333,48.68395667,48.68395667,48.63963333,50.22387333,49.35921667,51.78090333,50.34249667,91.702715,92.268895,1.01206,91.169535,1.929816667,98.62165333,48.71040333,56.86510667,48.51702667,63.69357
Australia,10,121.3732133,113.8245133,0.88555,128.5292533,108.0277433,105.4006133,0.953696667,110.5165967,100.8944333,100.8940033,0.99999,100.8948533,153.4974467,216.4560533,0,0,0,0,0.808976667,85.88185607,46.28820029,12990805.6,3.775,89.55654667,0,6,1,12,4,5,16,41.42156667,30.10878,40.71549667,39.93854667,45.63626333,48.55519667,48.63891667,45.39372333,49.48667,45.13423,51.34341667,151.9242567,148.8848533,0.96225,154.80665,0.689296667,81.82218,47.70958333,57.59388333,47.81182667,71.75875333
