,0
Population,24963452.83018868
Area (km2),467950.2156874706
GDP per Cap,1706.0924150943395
Gender Ratio %,50.317735849056604
Gender Gap,0.6493612903225805
Suicide per 100k,7.597640607132075
Suicide 5-14 years,0.48301886792452825
Suicide 15-49 years,9.43632075471698
Suicide  50-69 years,23.004150943396223
Suicide 70+ years,45.291037735849066
Unemployment (%),7.637692307692307
Divorce Rate per 100k,17.86
GINI,42.23137254901961
Christian,47.483207547169805
Muslim,41.10377358490565
Irreligion,3.2416981132075473
Hindu,2.0005660377358487
Buddhist,2.972075471698113
Folk religion,4.466415094339623
Other religion,0.2447169811320755
Jewish,0.04679245283018869
Hunger (rate),27.79767441860465
Urbanization (rate),41.246153846153845
Democracy (value),3.9328
Holiday (Paid Days),26.725490196078432
Fertility (per woman),4.3935849056603775
Air Quality (Value),33.68916666666668
Homicide per 100k,8.030000000000001
Prison (per 100k),110.26923076923076
Alchool (per cap),4.505660377358491
Drugs Usage (per cap),0.639056603773585
Congestion (Per capita),249.65333333333336
Power Distance,67.75
Individualism,22.75
Masculinity,44.0
Uncertainity Avoidance,55.0
Long Term Orientation,18.5
Net Migration,-2.9588235294117644
Mortality,8.47301886792453
"Adolescent fertility rate (births per 1,000 women ages 15-19)",5.746038461294119
Age dependency ratio (% of working-age population),72.87495398666667
"Age dependency ratio, old",227.51729276836735
"Age dependency ratio, young",4.295001960764706
"Current health expenditure per capita, PPP (current international $)",84.7596666666
"Fertility rate, total (births per woman)",77.72712418313725
"Immunization, BCG (% of one-year-old children)",77.6339869282353
"Immunization, DPT (% of children ages 12-23 months)",77.63888888901963
"Immunization, HepB3 (% of one-year-old children)",75.52745098039216
"Immunization, Hib3 (% of children ages 12-23 months)",62.34946236580646
"Immunization, measles (% of children ages 12-23 months)",77.42156862745098
"Immunization, measles second dose (% of children by the nationally recommended age)",43.05972948343138
"Immunization, Pol3 (% of one-year-old children)",64.75064836607844
"Labor force, female (% of total labor force)_x",60.873446732156864
"Life expectancy at birth, female (years)",225.18017418431373
"Life expectancy at birth, male (years)",284.50474215294116
"Mortality rate, adult, female (per 1,000 female adults)",48.53111111098039
"Mortality rate, adult, male (per 1,000 male adults)",43.77594771274511
"Mortality rate, infant (per 1,000 live births)",53.0430718954902
"Mortality rate, infant, female (per 1,000 live births)",27.154901960980396
"Mortality rate, infant, male (per 1,000 live births)",68.89617647117647
"Mortality rate, neonatal (per 1,000 live births)",63.71434640509804
"Mortality rate, under-5 (per 1,000)_x",73.82016339862746
"Mortality rate, under-5, female (per 1,000)",4108.507843190784
"Mortality rate, under-5, male (per 1,000)",5721.583333268039
Number of deaths ages 10-14 years,6125.53692805098
Number of deaths ages 15-19 years,6918.376143724843
Number of deaths ages 20-24 years,49178.50686200648
Number of deaths ages 5-9 years,21721.39901896667
Number of infant deaths,27457.10784326137
"Number of infant deaths, female",4352.866013196079
"Number of infant deaths, male",28124.145098045687
Number of maternal deaths,21972.673529326865
Number of neonatal deaths,69916.4732033196
Number of stillbirths,31748.98888829412
Number of under-five deaths,38167.484313261375
"Number of under-five deaths, female",5.981535947764706
"Number of under-five deaths, male",10.136111110901961
"Probability of dying among adolescents ages 10-14 years (per 1,000)",8.553333333333335
